"","id","condition","age","sex","total_score","engagement","difficulty","strategy","impression","feedback","date","time","task_duration","intruction","start_time"
"285",287,"novice-high",21,"male",3452,10,8,"There isnt a particular strategy. I just tried to make any combination early on and if I could not get anything going from that I just extract and try to get whatever small amount of points available.","Not very often.","No comment other than the curiosity of what this study is focused on.","2024_07_04","24_19_06",362880,1,1720015922284
"286",288,"novice-high",21,"female",2600,5,7,"try to create fusions for the first 5 or 4 clicks and then extract the points for the rest","not very often","","2024_07_04","11_21_30",460864,1,1720015968702
"287",289,"novice-high",28,"female",6340,9,6,"Tried fushions for the first few turns then just extractions","Like 14 of the time","no","2024_07_04","16_21_34",421281,1,1720016011903
"288",290,"novice-high",27,"male",5250,7,1,"I attempted to craft combinations for the first 1-3 tries then if i had not found one would just use crystals.","Not as often as you would like i often found myself risking too many points to make fusions so i lost points.","Very fun and interesting experiment. Glad to participate and hope my data provides useful insight and knowledge.","2024_07_04","16_22_42",328158,4,1720016172985
"289",291,"expert-high",34,"female",14674,10,3,"I tried the combinations that were stated most likely to work and then I tried to think about how many moves I should use on fusing vs. how many times I should extract at the end to get the most points.","They worked out often for me because I mostly only tried the ones that were most likely to work. Occasionally I tried one that was less likely but would have resulted in more points it didnt work and I lost a move.","","2024_07_04","10_23_17",632639,1,1720015903592
"290",292,"expert-high",33,"female",2913,8,6,"experiment with 3-5 fusions if those yield larger crystals then experiment with 1-2 more fusions of the larger crystals then begin extracting starting with the largest amount","610 times","nope","2024_07_04","16_24_38",515173,1,1720016102521
"291",293,"expert-high",26,"female",14793,10,2,"try to get the highest value crystal without wasting to many rounds with failed crystals","80","no","2024_07_04","11_31_27",352857,2,1720016673447
"292",294,"novice-high",31,"male",3650,9,8,"fuse in first two attempts  if it work good if not continue selecting 100 point crystals","30 percent of the time","Could be more fun if fusion gives random points","2024_07_04","11_36_30",327172,1,1720017002818
"293",295,"expert-high",38,"male",6450,8,3,"Find a fuse and continuously extract it","Most of the time","","2024_07_04","11_37_26",344720,2,1720017041149
"294",296,"novice-high",27,"male",2250,10,0,"using the same shapes and the same fusion letters","30 of the time","","2024_07_04","09_37_43",425589,1,1720016976667
"295",297,"expert-high",46,"male",8280,9,5,"Only strategies i really used was to well follow the suggested guide as to which fusions were more likely to succeed each round.","If following the suggested guiderecommendation as to which fusions were likely to succeed the most - it went pretty much as suggested.","Nothing really to add!","2024_07_05","03_39_03",981194,2,1720016501460
"296",298,"expert-high",24,"female",9343,9,1,"I would fuse until I got higher points and then would extract them before I ran out of turns.","Fusions work out most of the time as long as you follow the pattern with the higher probability (810) and mix the numbers up in consecutive fusions.","","2024_07_05","01_45_34",812421,1,1720017061126
"297",299,"expert-high",27,"female",9124,8,5,"sticking to the shapes that give the best odds","most of the time","","2024_07_04","17_51_07",516602,2,1720017689629
"298",300,"expert-high",20,"male",5439,9,4,"Working with the most likely combinations to fuse.","60 of the time.","none.","2024_07_04","12_01_04",412823,3,1720018390838
"299",301,"novice-high",55,"male",5735,10,5,"See if i can get a few fusions to start with within 5 goes then extract. If not after 5 goes extract plain crystals.","20","","2024_07_04","21_04_15",485773,8,1720032908974
"300",302,"expert-high",28,"female",6300,8,2,"I originally didnt realise you could continuously input the same one again and again so was trying to create several crystals for the higher points then realised I didnt need to.","More often than not when you follow the recommendations which was helpful.","I enjoyed participating in the experiment.","2024_07_04","21_19_58",535488,2,1720033801798
